SEMÁFORO COMPARTILHADO,SEMÁFORO,IP DDNS,Nº CHIP,ELSYS,LOCALIZAÇÃO 1,LOCALIZAÇÃO 2,ENDEREÇO,BAIRRO,TIPO DE CONTROLADOR,EMPRESA,ROTA,OBSERVAÇOES,SUB-ÁREA (TRAFGO),LATITUDE ,LONGITUDE,GEOREFERÊNCIA,NOBREAK,Nº do No Break,CÂMERAS,BOTOEIRA COM DISPOSITIVO SONORO,HORÁRIO DE FUNCIONAMENTO Do dispositivo sonoro,BOTOEIRA SIMPLES,Coluna Cônica,Coluna Simples,Semipórtico Cônico,Semipórtico Simples,Semipórtico Estruturado,Pórtico Estruturado,Veicular TIPO I,VeiculaR Tipo T,PEDESTRE SIMPLES,Pedestre com cronômetro,Ciclista ,Anteparo TIpo I,Veicular com sequencial,Veicular com cronômetro,Luminárias,Conta-Contrato,NÚMERO DO Medidor ,Data de implantação
357,357,s05195.dyndns.org,,,RUA ODORICO MENDES,RUA PROF. FRANCISCO TRINDADE,RUA ODORICO MENDES X RUA PROF. FRANCISCO TRINDADE,CAMPO GRANDE,GIT-SM 6 FASES,SERTTEL,2,,,-8.035389,-34.880524,"-8.035389,-34.880524",NÃO,,,,,,,,,3,,,8,,,,,4,,,,7.004.049.394,3.010.220.238,28/11/2001
358,358,s05054.dyndns.org,,,PÇA. PARNAMIRIM,ESTRADA DO ENCANAMENTO,PÇA. PARNAMIRIM X ESTRADA DO ENCANAMENTO,CASA FORTE,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.033040,-34.910404,"-8.033040,-34.910404",SIM,,,,,,,2,1,2,,,4,,2,,,2,,1,,4.008.919.165,80.822.065,11/11/1992
359,359,s05189.dyndns.org,,,RUA DOS COELHOS,E/F AO IMIP,RUA DOS COELHOS X E/F AO IMIP,COELHOS,GIT-SM 6 FASES,SINALVIDA,8,,,-8.066612,-34.889726,"-8.066612,-34.889726",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,7.001.401.976,3.181.426.445,17/09/1992
360,360,s05173.dyndns.org,,,RUA SENADOR ALBERTO PAIVA,RUA  ANTÔNIO NOVAIS,RUA SENADOR ALBERTO PAIVA X RUA  ANTÔNIO NOVAIS,GRAÇAS,GIT-CSMP 10 FASES,SERTTEL,1,FOI IMPLANTADO ANTENA E O DYN s05173.dyndns.org DO SEMÁFORO 291,,-8.043870,-34.900388,"-8.043870,-34.900388",SIM,,,,,,,1,,3,,,5,,,,,3,,,,4.008.174.216,3.205.269.656,24/11/2001
361,361,s05329.dyndns.org,,,RUA DA HORA,RUA AMÉLIA (J. L. SILVEIRA),RUA DA HORA X RUA AMÉLIA (J. L. SILVEIRA),ESPINHEIRO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.046217,-34.894335,"-8.046217,-34.894335",SIM,,,,,,,1,,3,,,6,,,,,3,,,,4.008.174.500,3.010.029.648,22/12/1992
362,362,s05164.dyndns-ip.com,,,RUA REGUEIRA COSTA,RUA DR. JOSÉ MARIA,RUA REGUEIRA COSTA X RUA DR. JOSÉ MARIA,ROSARINHO,GIT-SM 6 FASES,SERTTEL,1,s05194.dyndns.org,,-8.035400,-34.898450,"-8.035400,-34.898450",NÃO,,,,,,,,,3,,,6,,,,,3,,,,4.008.175.573,80.150.180,24/11/2001
363,363,s04992.dyndns.org,,,RUA DAS MOÇAS,RUA CONSTÂNCIA,RUA DAS MOÇAS X RUA CONSTÂNCIA,ARRUDA,GIT-SM 6 FASES,SERTTEL,2,ANTENA REMOVIDA (CHEIO DE ÁGUA),,-8.016591,-34.883967,"-8.016591,-34.883967",NÃO,,,,,,,1,,2,,,4,2,,,,4,,,,7.010.335.927,3.120.701.648,06/11/1997
364,364,s05514.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,Av. PROF. JOSÉ DOS ANJOS,AV. NORTE MIGUEL ARRAES DE ALENCAR X Av. PROF. JOSÉ DOS ANJOS,MANGABEIRA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.026245,-34.905490,"-8.026245,-34.905490",SIM,,,,,,,5,1,3,,,9,,6,,,,,0,,4.005.716.077,3.121.785.802,12/03/1993
365,365,s05628.dyndns.org,,,AV. JOÃO DE BARROS,RUA JOAQUIM FELIPE,AV. JOÃO DE BARROS X RUA JOAQUIM FELIPE,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,10,,,-8.053189,-34.889967,"-8.053189,-34.889967",NÃO,,,,,,,,,1,,,4,,,,,2,,,,7.000.611.845,3.226.201.130,05/03/1993
366,366,s05381.dyndns.org,,,AV. CONS. AGUIAR,RUA FRANÇA PEREIRA,AV. CONS. AGUIAR X RUA FRANÇA PEREIRA,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.106144,-34.889082,"-8.106144,-34.889082",SIM,,,,,2,,2,2,,,,4,,2,,,2,,,,4.007.159.345,3.142.600.098,29/10/2004
367 / 481 / 355,367,radium-tecnologia.fortiddns.com:20481,,,RUA SPORT CLUBE DO RECIFE,E/F AO SPORT CLUB DO RECIFE,RUA SPORT CLUBE DO RECIFE X E/F AO SPORT CLUB DO RECIFE,ILHA DO RETIRO,COMPARTILHADO,SERTTEL,4,SEMÁFORO 367 CONTROLADO PELO 481,ABDIAS 2,-8.061485,-34.902625,"-8.061485,-34.902625",NÃO,,3,,,,,5,1,1,,,5,,4,2,,1,1,,,4.010.337.416,3.171.579.065,09/01/2018
368 / 281,368,s05686.dyndns.org	,,,AV. JOAQUIM RIBEIRO,RUA FRANCISCO TORRES,AV. JOAQUIM RIBEIRO X RUA FRANCISCO TORRES,VÁRZEA,COMPARTILHADO,SERTTEL,1,,,-8.030295,-34.957363,"-8.030295,-34.957363",NÃO,,,,,,,,,2,,,5,,,,,3,,,,,,05/09/2001
369,369,s05016.dyndns.org,,,RUA PADRE LEMOS,EM FRENTE AOS CORREIOS,RUA PADRE LEMOS X EM FRENTE AOS CORREIOS,CASA AMARELA,GIT-SM 6 FASES,SERTTEL,1,,,-8.022337,-34.919695,"-8.022337,-34.919695",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,4.011.843.927,,27/08/2001
370 / 107,370,s05669.dyndns.org,,,AV. 17 DE AGOSTO,PÇA. DO MONTEIRO,AV. 17 DE AGOSTO X PÇA. DO MONTEIRO,MONTEIRO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.027749,-34.928219,"-8.027749,-34.928219",SIM,,,,,2,,1,,1,,,2,,2,,,2,2,,,4.011.843.927,,26/051993
371,371,s05175.dyndns.org,,,AV. GAL. SAN MARTIN,PRÓX. A RUA SIGISMUNDO CABRAL DE MELO,AV. GAL. SAN MARTIN X PRÓX. A RUA SIGISMUNDO CABRAL DE MELO,SAN MARTIN,GIT-SM 6 FASES,SINALVIDA,8,,,-8.073416,-34.929589,"-8.073416,-34.929589",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,4.011.843.927,,14/08/2001
372,372,s05622.dyndns.org,,,AV. 17 DE AGOSTO,PÇA. DE CASA FORTE,AV. 17 DE AGOSTO X PÇA. DE CASA FORTE,CASA FORTE,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.035731,-34.920195,"-8.035731,-34.920195",SIM,,,,,4,,3,2,,,,6,,4,,,,,,,4.011.843.927,,23/07/1993
373 / 653,373,radium-tecnologia.fortiddns.com:20181,,,RUA ESTADO DE ISRAEL,RUA DR JOÃO ASFORA,RUA ESTADO DE ISRAEL X RUA DR JOÃO ASFORA,ILHA DO LEITE,GIT-CSMP 10 FASES,SERTTEL,4,,JOÃO ASFORA,-8.063488,-34.894867,"-8.063488,-34.894867",SIM,,2,,,,,1,,1,,,4,,,,,,,0,,,,29/08/2001
374,374,s05162.dyndns.org,,,AV. PROFESSOR LUÍS FREIRE,EM FRENTE À CEFET,AV. PROFESSOR LUÍS FREIRE X EM FRENTE À CEFET,CIDADE UNIVERSITÁRIA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.058509,-34.949579,"-8.058509,-34.949579",NÃO,,,2,06:30 às 22:30,,,,,2,,,4,,,2,,2,,,,4.011.843.927,,29/08/2001
375,375,radium-tecnologia.fortiddns.com:20141,,,AV. ENG ABDIAS DE CARVALHO,AV. DO FORTE,AV. ENG ABDIAS DE CARVALHO X AV. DO FORTE,TORRÕES,GIT-CSMP 10 FASES,SERTTEL,4,,ABDIAS DE CARVALHO,-8.062545,-34.932194,"-8.062545,-34.932194",NÃO,,3,,,,,5,1,3,,,5,,2,,2,5,2,,,4.012.936.732,82.779.973,12/08/1996
376,376,s05120.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA GUADALUPE,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA GUADALUPE,TORREÃO,GIT-CSMP 10 FASES,SERTTEL,2,ANTENA REMOVIDA (CHEIO DE ÁGUA),,-8.040395,-34.886885,"-8.040395,-34.886885",SIM,,,,,,,3,2,3,,,10,,4,,,,,,,4.005.752.774,3.193.327.574,25/08/2005
377 / 056,377,s05511.dyndns.org	,,,RUA MARECHAL DEODORO,RUA CASTRO ALVES,RUA MARECHAL DEODORO X RUA CASTRO ALVES,TORREÃO,COMPARTILHADO,SERTTEL,2,,,-8.039653,-34.887309,"-8.039653,-34.887309",NÃO,,,,,,,1,,2,,,4,,2,,,2,,,,,,29/09/2001
378 / 379,378,s05218.dyndns.org,,,AV. GOV. AGAMENON MAGALHÃES,E/F AO N° 674 (SENTIDO OLINDA),AV. GOV. AGAMENON MAGALHÃES X E/F AO N° 674 (SENTIDO OLINDA),SANTO AMARO,COMPARTILHADO,SERTTEL,4,,,-8.041235,-34.881592,"-8.041235,-34.881592",NÃO,,,,06:00/20:00h,2,,,,,,1,2,,2,,,,2,,,4.005.637.061,61.254.706,28/06/2001
379 / 378,379,s05218.dyndns.org	,,,AV. GOV. AGAMENON MAGALHÃES,E/F AO ED. VISGUEIRO N°1330,AV. GOV. AGAMENON MAGALHÃES X E/F AO ED. VISGUEIRO N°1330,TORREÃO,GIT-CSMP 10 FASES,SERTTEL,4,,,-8.040896,-34.881825,"-8.040896,-34.881825",SIM,,,,06:00/20:00h,2,,1,,,,1,2,,2,,,,2,,,7.010.611.410,61.254.706,28/06/2001
380,380,s05275.dyndns.org,,,AV. DOMINGOS FERREIRA,RUA ARTUR MUNIZ,AV. DOMINGOS FERREIRA X RUA ARTUR MUNIZ,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.104002,-34.888953,"-8.104002,-34.888953",SIM,1191A0010000004697,,,,,,1,1,1,,,3,,,,,,2,,,4.011.843.927,,13/05/1998
381,381,s05094.dyndns.org,,,AV. DANTAS BARRETO,RUA TOBIAS BARRETO (PISTA LESTE),AV. DANTAS BARRETO X RUA TOBIAS BARRETO (PISTA LESTE),SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,FALTA GABINETE DA RADIUM,,-8.067750,-34.880055,"-8.067750,-34.880055",NÃO,,,,,2,,1,,1,,,2,,2,,,1,,,,7.001.402.182,3.203.489.241,17/02/1994
382,382,s05570.dyndns.org,,,AV. DANTAS BARRETO,RUA TOBIAS BARRETO,AV. DANTAS BARRETO X RUA TOBIAS BARRETO,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.067598,-34.880289,"-8.067598,-34.880289",NÃO,,,,,,,,,1,,,2,,,,,1,,,,7.001.402.395,3.230.376.084,17/02/1994
383,383,s05372.dyndns.org,,,CAIS DE SANTA RITA,AV. MARTINS DE BARROS,CAIS DE SANTA RITA X AV. MARTINS DE BARROS,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,,-8.067341,-34.875618,"-8.067341,-34.875618",NÃO,,,,,,,,2,,,,5,,,,,3,,,,4.011.843.927,,23/05/1997
384,384,s05220.dyndns.org,,,AV. DANTAS BARRETO,RUA PASSO DA PÁTRIA (CENTRAL),AV. DANTAS BARRETO X RUA PASSO DA PÁTRIA (CENTRAL),SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.069285,-34.881638,"-8.069285,-34.881638",NÃO,,,,,2,,,,2,,,4,,2,,,,,,,7.001.402.638,91.189.747,17/02/1994
385 / 386,385,s05134.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAIS,RUA MURITIBA,AV. MAL. MASCARENHAS DE MORAIS X RUA MURITIBA,IMBIRIBEIRA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.112542,-34.912620,"-8.112542,-34.912620",SIM,,,,,,,,1,3,,,9,,,,,5,,,,,,12/03/1994
386 / 385,386,s05134.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAIS,RUA ITACARÉ,AV. MAL. MASCARENHAS DE MORAIS X RUA ITACARÉ,IMBIRIBEIRA,COMPARTILHADO,SERTTEL,5,,,-8.111426,-34.912393,"-8.111426,-34.912393",NÃO,,,,,2,,1,,5,,,8,,2,0,,4,,,,4.006.902.877,3.205.573.215,12/03/1994
387,387,s05232.dyndns.org,,,AV. BEIRA RIO,RUA JOSÉ OSÓRIO,AV. BEIRA RIO X RUA JOSÉ OSÓRIO,MADALENA,GIT-CSMP 10 FASES,SERTTEL,4,,,-8.053042,-34.904730,"-8.053042,-34.904730",SIM,1191.A0.010000004740,,,,,,5,2,2,,,8,,2,8,,3,1,,,4.010.496.336,3.150.476.347,04/06/1999
388,388,s05590.dyndns.org,,,AV. BEBERIBE,AV. CIDADE DO MONTEIRO,AV. BEBERIBE X AV. CIDADE DO MONTEIRO,CAJUEIRO,GIT-SM 6 FASES,SERTTEL,2,,,-8.009337,-34.889131,"-8.009337,-34.889131",NÃO,,,,,,,1,,3,,,9,,,,,4,,,,4.012.281.493,3.121.521.724,10/03/1994
389,389,s05579.dyndns.org,,,AV. 17 DE AGOSTO,E/F AO C.P.O.R.,AV. 17 DE AGOSTO X E/F AO C.P.O.R.,SANTANA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.037942,-34.918009,"-8.037942,-34.918009",SIM,,,,,2,,2,,2,,,5,,2,,,2,,,,4.012.689.565,82.805.737,07/03/1994
390,390,s05357.dyndns.org,,,ESTRADA DOS REMÉDIOS,RUA TABAIARES,ESTRADA DOS REMÉDIOS X RUA TABAIARES,ILHA DO RETIRO,GIT-SM 6 FASES,SINALVIDA,8,,,-8.065242,-34.908034,"-8.065242,-34.908034",NÃO,,,,06:00/21:00h,,,,,5,,,8,,2,,,6,,,,4.006.556.219,3.171.581.221,03/05/1994
391,391,s04996.dyndns.org,,,RUA SÃO MIGUEL,EM FRENTE AO Nº 685,RUA SÃO MIGUEL X EM FRENTE AO Nº 685,AFOGADOS,GIT-SM 6 FASES,SINALVIDA,8,,,-8.080499,-34.912906,"-8.080499,-34.912906",NÃO,,,,,2,,,,2,,,4,,2,,,,,,,4.008.923.928,3.202.736.164,11/05/1994
392,392,s05048.dyndns.org,,,RUA SÃO MIGUEL,RUA MANOEL DE ALBUQUERQUE FERNANDES,RUA SÃO MIGUEL X RUA MANOEL DE ALBUQUERQUE FERNANDES,JIQUIÁ,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.080911,-34.919408,"-8.080911,-34.919408",NÃO,,,,,2,,,1,2,,,10,,,2,,,,,,4.008.924.355,3.011.134.240,22/07/1994
393,393,s05687.dyndns.org,,,AV. RECIFE,RUA GONÇALVES MAGALHÃES,AV. RECIFE X RUA GONÇALVES MAGALHÃES,VILA DA SUDENE,GIT-SM 6 FASES,SINALVIDA,7,,,-8.120308,-34.919456,"-8.120308,-34.919456",NÃO,,,,,,,,,4,,,6,,,,,2,2,,,4.007.575.454,660.184.457,14/09/1996
394,394,s05358.dyndns.org,,,ESTRADA VELHA DO BONGI,ESTRADA DOS REMÉDIOS,ESTRADA VELHA DO BONGI X ESTRADA DOS REMÉDIOS,BONGI,GIT-SM 6 FASES,SINALVIDA,8,,,-8.068958,-34.908466,"-8.068958,-34.908466",NÃO,,,,,,,2,,1,,,5,,,2,,2,,,,4.012.939.324,82.779.957,24/12/1994
395,395,s05538.dyndns.org,,,RUA LINDOLFO COLLOR,RUA ANTÔNIO CURADO,RUA LINDOLFO COLLOR X RUA ANTÔNIO CURADO,ENGENHO DO MEIO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.052412,-34.941340,"-8.052412,-34.941340",NÃO,,,,,,,,1,3,,,8,,,,,4,,,,4.011.843.927,,10/09/1993
396 / 532,396,s05211.dyndns.org,,,RUA OLÍVIA MENELAU,AV. MASCARENHAS DE MORAIS,RUA OLÍVIA MENELAU X AV. MASCARENHAS DE MORAIS,IMBIRIBEIRA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.091147,-34.908513,"-8.091147,-34.908513",SIM,,,,,,,1,4,2,,,9,,,,,6,,0,,4.006.912.074,3.181.426.399,24/09/1994
397,397,s05386.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,EM FRENTE AO N° 886,AV. NORTE MIGUEL ARRAES DE ALENCAR X EM FRENTE AO N° 886,SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.044930,-34.880372,"-8.044930,-34.880372",SIM,,,2,06:00/21:00h,0,,1,,2,,,4,,,2,,2,,,,4.005.754.319,3.133.183.280,08/05/2001
398,398,s05548.dyndns.org,,,AV. BEBERIBE,EM FRENTE AO N° 4510,AV. BEBERIBE X EM FRENTE AO N° 4510,BEBERIBE,GIT-SM 6 FASES,SERTTEL,2,,,-8.004059,-34.897083,"-8.004059,-34.897083",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,4.011.843.927,,25/04/2001
399,399,s05525.dyndns.org,,,RUA ARQUITETO LUIZ NUNES,RUA ÁLVARO AMORIM,RUA ARQUITETO LUIZ NUNES X RUA ÁLVARO AMORIM,IMBIRIBEIRA,GIT-SM 6 FASES,SINALVIDA,7,,,-8.086460,-34.909649,"-8.086460,-34.909649",NÃO,,,,,2,,,,2,,,4,,,2,,,,,,4.010.982.796,3.161.141.185,11/10/1994
400,400,,,,AV. DESEMBARGADOR JOSÉ NEVES,APROXIMAÇÃO DA ENTRADA DO TÚNEL AUGUSTO LUCENA NO SENTIDO CID SUB,AV. DESEMBARGADOR JOSÉ NEVES X APROXIMAÇÃO DA ENTRADA DO TÚNEL AUGUSTO LUCENA NO SENTIDO CID SUB,BOA VIAGEM,DIGICON - FCA,SINALVIDA,6,,,-8.121305,-34.909783,"-8.121305,-34.909783",NÃO,,,,,2,,2,1,,,,3,,2,,,,,,,4.011.843.927,,25/04/2001
401,401,s05265.dyndns.org,,,RUA DOM BOSCO,RUA ARTUR ORLANDO,RUA DOM BOSCO X RUA ARTUR ORLANDO,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,8,,,-8.057437,-34.894809,"-8.057437,-34.894809",NÃO,,,,,0,,1,,2,,,3,,,2,,3,,,,4.006.885.239,62.098.449,19/04/2001
402,402,s05293.dyndns.org,,,AV. GAL. MAC ARTHUR,RUA JORGE DE LIMA,AV. GAL. MAC ARTHUR X RUA JORGE DE LIMA,IMBIRIBEIRA,GIT-SM 6 FASES,SINALVIDA,6,,,-8.109790,-34.907568,"-8.109790,-34.907568",NÃO,,,,,2,,,,2,,,4,,2,,,2,,,,4.005.966.960,3.153.463.939,08/03/2001
403,403,s05047.dyndns.org,,,AV. GAL. SAN MARTIN,EM FRENTE AOS CORREIOS,AV. GAL. SAN MARTIN X EM FRENTE AOS CORREIOS,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.058427,-34.925094,"-8.058427,-34.925094",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,4.011.843.927,,16/03/2001
404,404,s05151.dyndns.org,,,ESTRADA DO ARRAIAL,RUA PADRE DE LEMOS,ESTRADA DO ARRAIAL X RUA PADRE DE LEMOS,CASA AMARELA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.026759,-34.917731,"-8.026759,-34.917731",SIM,,,2,05:00/20:30h,,,5,,2,,,3,,,2,,,,1,,4.010.481.274,82.162.453,03/06/1998
405,405,s05584.dyndns.org,,,AV. BEBERIBE,RUA JÚLIO RAMOS,AV. BEBERIBE X RUA JÚLIO RAMOS,ÁGUA FRIA,GIT-SM 6 FASES,SERTTEL,2,,,-8.019664,-34.894550,"-8.019664,-34.894550",NÃO,,,,,2,,1,,3,,,7,,2,,,3,,,,7.024.326.947,3.224.007.930,25/01/1995
406,406,s05385.dyndns.org,,,AV. JOÃO DE BARROS,PRÓXIMO AO VIADUTO JOÃO DE BARROS,AV. JOÃO DE BARROS X PRÓXIMO AO VIADUTO JOÃO DE BARROS,SANTO AMARO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.045610,-34.889990,"-8.045610,-34.889990",NÃO,,,,,3,,1,,2,,,4,,2,,,2,,,,4.011.843.927,,13/02/2001
407 / 159,407,s05267.dyndns.org,,,RUA BARÃO DE SOUZA LEÃO,EM FRENTE AO COLÉGIO SANTOS DUMONT,RUA BARÃO DE SOUZA LEÃO X EM FRENTE AO COLÉGIO SANTOS DUMONT,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.132167,-34.907281,"-8.132167,-34.907281",NÃO,,,2,05:00/22:00h,,,1,,1,,,3,,2,,,,,,2,,,04/02/2001
408,408,s05034.dyndns.org,,,RUA DA CONCÓRDIA,RUA SÉRGIO LORETO,RUA DA CONCÓRDIA X RUA SÉRGIO LORETO,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,DANTAS BARRETO,-8.071999,-34.884642,"-8.071999,-34.884642",NÃO,,,,,,,2,,2,,,7,,,,,,,,,4.005.616.722,61.048.022,03/03/1995
409,409,s05508.dyndns.org,,,RUA CONDE DE IRAJÁ,PÇA. DA TORRE,RUA CONDE DE IRAJÁ X PÇA. DA TORRE,TORRE,GIT-SM 6 FASES,SINALVIDA,8,,,-8.047001,-34.913636,"-8.047001,-34.913636",NÃO,,,2,04:00/23:00h,0,,1,,1,,,2,,,2,,1,,,2,7.007.669.911,3.011.173.001,03/04/1995
410,410,s05571.dyndns.org,,,AV. 17 DE AGOSTO,E/F AO COLÉGIO MATER CHRISTI,AV. 17 DE AGOSTO X E/F AO COLÉGIO MATER CHRISTI,CASA FORTE,GIT-SM 6 FASES,SINALVIDA,9,,,-8.032824,-34.923126,"-8.032824,-34.923126",SIM,,,,,2,,,,2,,,4,,,2,,2,,,,4.012.687.635,83.208.260,03/04/1995
411,411,s05516.dyndns.org,,,RUA FALCÃO DE LACERDA,E/F AO COLÉGIO BARÃO DE RIO BRANCO,RUA FALCÃO DE LACERDA X E/F AO COLÉGIO BARÃO DE RIO BRANCO,TEJIPIÓ,GIT-SM 6 FASES,SINALVIDA,7,,,-8.091702,-34.960211,"-8.091702,-34.960211",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,4.011.180.839,3.203.488.067,20/04/1995
412,412,s05283.dyndns.org,,,AV. JOÃO DE BARROS,ESQUINA COM A RUA DOM VITAL,AV. JOÃO DE BARROS X ESQUINA COM A RUA DOM VITAL,SANTO AMARO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.046496,-34.889856,"-8.046496,-34.889856",NÃO,,,,,2,,,,2,,,4,,1,1,,2,,,,7.000.611.381,3.133.014.607,20/04/1995
413 / 050,413,s05234.dyndns.org	,,,AV. VISCONDE DE ALBUQUERQUE,EM FRENTE AO HOSPITAL D'AVILA,AV. VISCONDE DE ALBUQUERQUE X EM FRENTE AO HOSPITAL D'AVILA,MADALENA,COMPARTILHADO,SERTTEL,4,,,-8.052039,-34.906643,"-8.052039,-34.906643",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,4.010.479.024,3.011.039.067,08/02/2001
414 / 207,414,s05037.dyndns.org	,,,RUA IMPERIAL,EM FRENTE AO N° 363,RUA IMPERIAL X EM FRENTE AO N° 363,SÃO JOSÉ,COMPARTILHADO,SINALVIDA,10,,DANTAS BARRETO,-8.071947,-34.882129,"-8.071947,-34.882129",NÃO,,,,,,,1,1,1,,,2,,2,,,,,,,4.011.843.927,,05/03/2001
415 / 614,415,s05572.dyndns.org,,,AV. 17 DE AGOSTO,RUA VIRGÍNIA DE LORETO,AV. 17 DE AGOSTO X RUA VIRGÍNIA DE LORETO,PARNAMIRIM,COMPARTILHADO,SERTTEL,1,,,-8.034731,-34.911633,"-8.034731,-34.911633",NÃO,,,,,2,,2,,2,,,4,,2,,,,,,,,,08/11/1996
416,416,s05269.dyndns.org,,,AV. DOIS IRMÃOS,BR-101,AV. DOIS IRMÃOS X BR-101,DOIS IRMÃOS,GIT-CSMP 16 FASES,SERTTEL,1,,,-8.016837,-34.940941,"-8.016837,-34.940941",SIM,1191.A0.010000004806,,,,,,2,,5,,,11,,,,,,,,,4.005.795.392,3.121.746.580,11/05/1995
417 / 075,417,s05562.dyndns.org	,,,AV. GOV. AGAMENON MAGALHÃES,PÇA. DERBY (PISTA SUL),AV. GOV. AGAMENON MAGALHÃES X PÇA. DERBY (PISTA SUL),DERBY,COMPARTILHADO,SERTTEL,4,,,-8.057480,-34.898221,"-8.057480,-34.898221",NÃO,,,,,,,,1,1,,,6,,,,,3,1,,,7.024.327.080,3.161.654.417,03/06/1995
418 / 040,418,s05290.dyndns.org	,,,PRAÇA DO DERBY,RUA JENNER DE SOUZA (PISTA SUL),PRAÇA DO DERBY X RUA JENNER DE SOUZA (PISTA SUL),DERBY,GIT-CSMP 16 FASES,SERTTEL,4,,,-8.057518,-34.900070,"-8.057518,-34.900070",SIM,,,,,,,1,2,,,,4,,,,,2,,,,,,03/06/1995
419,419,s05223.dyndns.org,,,AV. CONS. AGUIAR,RUA BARÃO DE SOUZA LEÃO,AV. CONS. AGUIAR X RUA BARÃO DE SOUZA LEÃO,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.132069,-34.901564,"-8.132069,-34.901564",SIM," 1191.A0.010000004801
",,,,,,1,1,1,,,3,,,,,2,,1,,4.006.855.097,3.140.043.485,23/05/1995
420,420,s05301.dyndns.org,,,RUA CAPITÃO ZUZINHA,RUA SÁ E SOUZA,RUA CAPITÃO ZUZINHA X RUA SÁ E SOUZA,SETÚBAL,GIT-SM 6 FASES,SINALVIDA,6,,,-8.134801,-34.906262,"-8.134801,-34.906262",NÃO,,,,,,,,,2,,,6,,,,,,,,,4.005.956.515,61.156.674,06/06/1995
421,421,s05637.dyndns.org,,,ESTRADA DO ARRAIAL,PRÓXIMO A RUA SEBASTIÃO ALVES,ESTRADA DO ARRAIAL X PRÓXIMO A RUA SEBASTIÃO ALVES,VILA DOS COMERCIÁRIOS,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.031005,-34.905445,"-8.031005,-34.905445",SIM,,,,,,,3,1,,,,4,,,2,,,,,,4.008.161.149,3.010.030.724,01/12/2000
422,422,radium-tecnologia.fortiddns.com:20121,,,AV. ENG ABDIAS DE CARVALHO,RUA 15 DE MARÇO,AV. ENG ABDIAS DE CARVALHO X RUA 15 DE MARÇO,TORRÕES,GIT-CSMP 10 FASES,SERTTEL,4,,ABDIAS DE CARVALHO,-8.061639,-34.930046,"-8.061639,-34.930046",NÃO,,3,,,,,1,1,2,,,9,,,,,5,,,,4.012.937.305,,12/08/1996
423,423,s05050.dyndns.org,,,RUA DE SÃO MIGUEL,RUA ODILON TUCUMAN,RUA DE SÃO MIGUEL X RUA ODILON TUCUMAN,AFOGADOS,GIT-SM 6 FASES,SINALVIDA,8,,,-8.080699,-34.914588,"-8.080699,-34.914588",NÃO,,,,,4,,,,4,,,5,,2,2,,,,,,4.011.843.927,,05/11/1997
